Ref Frequency,Temp,
21699934.14,-24.5,0.236
21699934.11,-24.5,0.234
21699934.17,-24.5,0.237
21699934.12,-24.5,0.235
21699934.12,-24.5,0.235
21699934.16,-24.5,0.236
21699934.3,-24.5,0.243
21699934.24,-24.5,0.24
21699934.25,-24.75,0.241
21699934.25,-24.75,0.241
21699934.36,-24.75,0.246
21699934.38,-24.75,0.247
21699934.59,-24.75,0.256
21699934.66,-24.75,0.26
21699934.71,-24.75,0.262
21699934.72,-24.75,0.262
21699934.71,-24.75,0.262
21699934.82,-24.5,0.267
21699934.88,-24.5,0.27
21699934.87,-24.5,0.269
21699934.95,-24.5,0.273
21699934.83,-24.75,0.267
21699934.7,-25,0.261
21699934.86,-25,0.269
21699934.8,-24.75,0.266
21699934.87,-24.75,0.269
21699934.77,-25,0.265
21699934.71,-24.75,0.262
21699934.7,-24.75,0.261
21699934.73,-24.75,0.263
21699934.73,-25,0.263
21699934.65,-25,0.259
21699934.67,-25,0.26
21699934.6,-25,0.257
21699934.69,-25,0.261
21699934.68,-24.75,0.26
21699934.68,-25,0.26
21699934.59,-25,0.256
21699934.5,-25,0.252
21699934.53,-25,0.254
21699934.54,-25.25,0.254
21699934.54,-25.25,0.254
21699934.6,-25,0.257
21699934.65,-25.25,0.259
21699934.5,-25.25,0.252
21699934.49,-25.25,0.251
21699934.5,-25.25,0.252
21699934.49,-25,0.252
21699934.45,-25.25,0.25
21699934.68,-25,0.26
21699934.74,-25.25,0.263
21699934.69,-25.25,0.261
21699934.63,-25.25,0.258
21699934.68,-25.25,0.261
21699934.53,-25,0.254
21699934.5,-25.25,0.252
21699934.48,-25,0.251
21699934.57,-25.25,0.256
21699934.58,-25.25,0.256
21699934.52,-25.25,0.253
21699934.56,-25.25,0.255
21699934.64,-25.25,0.259
21699934.52,-25.5,0.253
21699934.54,-25.5,0.254
21699934.56,-25.5,0.255
21699934.53,-25.25,0.253
21699934.54,-25.5,0.254
21699934.51,-25.5,0.253
21699934.58,-25.5,0.256
21699934.45,-25.25,0.25
21699934.42,-25.5,0.249
21699934.47,-25.5,0.251
21699934.52,-25.5,0.253
21699934.41,-25.5,0.248
21699934.42,-25.5,0.249
21699934.34,-25.25,0.245
21699934.38,-25.5,0.247
21699934.36,-25.5,0.246
21699934.42,-25.5,0.248
21699934.29,-25.25,0.242
21699934.33,-25.5,0.244
21699934.34,-25.25,0.245
21699934.43,-25.5,0.249
21699934.46,-25.5,0.25
21699934.29,-25.5,0.243
21699934.37,-25.5,0.246
21699934.45,-25.5,0.25
21699934.57,-25.5,0.255
21699934.36,-25.5,0.246
21699934.46,-25.25,0.25
21699934.54,-25.5,0.254
21699934.37,-25.5,0.246
21699934.43,-25.5,0.249
21699934.33,-25.5,0.244
21699934.37,-25.5,0.246
21699934.45,-25.5,0.25
21699934.46,-25.5,0.25
21699934.44,-25.25,0.25
21699934.42,-25.5,0.249
21699934.38,-25.5,0.247
21699934.46,-25.5,0.25
21699934.54,-25.5,0.254
21699934.45,-25.5,0.25
21699934.62,-25.5,0.258
21699934.62,-25.75,0.258
21699934.59,-25.5,0.256
21699934.49,-25.5,0.252
21699934.56,-25.5,0.255
21699934.57,-25.75,0.255
21699934.59,-25.5,0.256
21699934.62,-25.75,0.258
21699934.57,-25.5,0.255
21699934.56,-25.75,0.255
21699934.55,-25.5,0.254
21699934.64,-25.75,0.259
21699934.69,-25.75,0.261
21699934.64,-25.75,0.259
21699934.69,-25.75,0.261
21699934.77,-25.75,0.265
21699934.87,-25.75,0.269
21699935,-25.75,0.275
21699934.79,-25.75,0.265
21699934.86,-25.5,0.269
21699934.78,-25.5,0.265
21699934.69,-25.75,0.261
21699934.72,-25.5,0.262
21699934.74,-25.5,0.263
21699934.73,-25.75,0.262
21699934.68,-25.75,0.26
21699934.68,-25.75,0.26
21699934.48,-25.75,0.251
21699934.59,-25.75,0.256
21699934.7,-25.75,0.261
21699934.61,-26,0.257
21699934.5,-26,0.252
21699934.48,-26,0.251
21699934.45,-26.25,0.25
21699934.65,-26.25,0.259
21699934.76,-26.5,0.264
21699934.69,-26.5,0.261
21699934.73,-26.75,0.263
21699934.93,-26.75,0.272
