Ref Frequency,Temp,
21699940.47,-19.5,-0.27
21699940.46,-19.75,-0.27
21699940.49,-19.75,-0.269
21699940.37,-20,-0.274
21699940.46,-20.25,-0.27
21699940.46,-20.25,-0.27
21699940.39,-20.25,-0.273
21699940.33,-20.5,-0.276
21699940.27,-20.75,-0.279
21699940.23,-20.75,-0.28
21699940.28,-21,-0.278
21699940.34,-21,-0.275
21699940.24,-21.25,-0.28
21699940.27,-21.25,-0.279
21699940.22,-21.5,-0.281
21699940.17,-21.5,-0.283
21699940.19,-21.75,-0.282
21699940.19,-21.75,-0.282
21699940.14,-21.75,-0.285
21699940.12,-22,-0.285
21699940.16,-22,-0.284
21699940.14,-22.25,-0.285
21699940.04,-22.25,-0.29
21699940.02,-22.25,-0.29
21699940.08,-22.25,-0.288
21699940.02,-22.5,-0.29
21699940.07,-22.5,-0.288
21699939.97,-22.75,-0.293
21699940.03,-22.75,-0.29
21699940.01,-22.75,-0.291
21699940.07,-22.75,-0.288
21699939.86,-22.75,-0.298
21699940.01,-23,-0.291
21699940.02,-23,-0.29
21699940.01,-23,-0.291
21699940.02,-23,-0.29
21699940.01,-23.25,-0.291
21699940.04,-23.25,-0.29
21699939.99,-23.25,-0.292
21699940.04,-23.25,-0.289
21699940.09,-23.5,-0.287
21699940.02,-23.5,-0.29
21699940.07,-23.5,-0.288
21699939.97,-23.5,-0.292
21699940.04,-23.5,-0.289
21699940.02,-23.75,-0.29
21699940.04,-23.75,-0.289
21699940.07,-23.5,-0.288
21699940.08,-23.75,-0.287
21699940.03,-23.5,-0.29
21699940.03,-23.5,-0.29
21699940.05,-23.75,-0.289
21699940.05,-23.75,-0.289
21699940.03,-23.75,-0.29
21699940.1,-23.75,-0.287
21699940.09,-23.75,-0.287
21699940.07,-24,-0.288
21699940.05,-24,-0.289
21699940.02,-24.25,-0.29
21699940.09,-24,-0.287
21699940.11,-24,-0.286
21699940.15,-24,-0.284
21699940.07,-24,-0.288
21699940.09,-24,-0.287
21699940.04,-24.25,-0.29
21699940.01,-24.25,-0.291
21699940.02,-24.25,-0.29
21699940.01,-24.25,-0.291
21699940,-24.25,-0.291
21699940.02,-24.25,-0.29
21699940.07,-24.25,-0.288
21699940.01,-24.25,-0.291
21699940.09,-24.5,-0.287
21699940.01,-24.5,-0.291
21699939.97,-24.5,-0.292
21699939.97,-24.5,-0.293
21699939.99,-24.5,-0.292
21699940,-24.5,-0.291
21699940.08,-24.5,-0.288
21699940.08,-24.5,-0.288
21699940.14,-24.5,-0.285
21699940.14,-24.75,-0.285
21699940.02,-24.75,-0.29
21699940.23,-24.75,-0.281
21699940.33,-24.75,-0.276
21699940.42,-24.75,-0.272
21699940.49,-24.75,-0.269
21699940.54,-24.75,-0.267
21699940.58,-24.75,-0.264
21699940.65,-24.75,-0.261
21699940.71,-24.75,-0.259
21699940.68,-24.75,-0.26
21699940.67,-25,-0.26
21699940.81,-24.75,-0.254
21699940.73,-25,-0.258
21699940.66,-25,-0.261
21699940.66,-25,-0.261
21699940.64,-25,-0.262
21699940.58,-25,-0.264
21699940.64,-25,-0.262
21699940.65,-25,-0.261
21699940.6,-25,-0.264
21699940.62,-25,-0.263
21699940.58,-25,-0.265
21699940.46,-25,-0.27
21699940.53,-25,-0.267
21699940.54,-25,-0.266
21699940.55,-25,-0.266
21699940.56,-25.25,-0.265
21699940.49,-25.25,-0.269
21699940.53,-25,-0.267
21699940.33,-25.25,-0.276
21699940.39,-25.25,-0.273
21699940.42,-25.25,-0.272
21699940.47,-25.25,-0.269
21699940.46,-25.25,-0.27
21699940.46,-25.25,-0.27
21699940.47,-25.25,-0.27
21699940.41,-25.25,-0.272
21699940.39,-25.25,-0.273
21699940.4,-25.25,-0.273
21699940.43,-25.25,-0.271
21699940.54,-25.25,-0.266
21699940.55,-25.25,-0.266
21699940.52,-25.25,-0.267
21699940.54,-25.25,-0.266
21699940.53,-25.25,-0.267
21699940.43,-25.25,-0.272
21699940.44,-25.25,-0.271
21699940.47,-25.25,-0.27
21699940.5,-25.5,-0.268
21699940.48,-25.5,-0.269
21699940.41,-25.5,-0.272
21699940.43,-25.5,-0.271
21699940.47,-25.5,-0.27
21699940.41,-25.5,-0.272
21699940.4,-25.5,-0.273
21699940.48,-25.5,-0.269
21699940.4,-25.5,-0.273
21699940.46,-25.5,-0.27
21699940.41,-25.5,-0.272
21699940.41,-25.5,-0.272
21699940.37,-25.5,-0.274
21699940.43,-25.5,-0.271
21699940.36,-25.5,-0.274
21699940.35,-25.5,-0.275
21699940.35,-25.5,-0.275
21699940.38,-25.5,-0.274
21699940.31,-25.5,-0.277
21699940.37,-25.5,-0.274
21699940.3,-25.5,-0.277
21699940.27,-25.5,-0.279
21699940.28,-25.5,-0.278
21699940.33,-25.5,-0.276
21699940.33,-25.5,-0.276
21699940.33,-25.5,-0.276
21699940.33,-25.5,-0.276
21699940.34,-25.5,-0.275
21699940.37,-25.5,-0.274
21699940.44,-25.5,-0.271
21699940.43,-25.5,-0.271
21699940.33,-25.5,-0.276
21699940.36,-25.5,-0.275
21699940.4,-25.75,-0.273
21699940.42,-25.75,-0.272
21699940.38,-25.75,-0.274
21699940.34,-25.75,-0.275
21699940.32,-25.5,-0.276
21699940.36,-25.75,-0.275
21699940.41,-25.5,-0.272
21699940.42,-25.5,-0.272
21699940.41,-25.75,-0.272
21699940.41,-25.75,-0.272
21699940.44,-25.75,-0.271
21699940.46,-25.75,-0.27
21699940.41,-25.75,-0.272
21699940.49,-25.75,-0.269
21699940.5,-25.75,-0.268
21699940.52,-25.75,-0.267
21699940.58,-25.75,-0.265
21699940.57,-25.75,-0.265
21699940.6,-25.75,-0.264
21699940.61,-25.75,-0.263
21699940.68,-25.75,-0.26
21699940.6,-25.75,-0.263
21699940.51,-25.75,-0.268
21699940.64,-25.75,-0.262
21699940.64,-25.75,-0.262
21699940.71,-25.75,-0.259
21699940.64,-25.75,-0.262
21699940.73,-25.75,-0.258
21699940.82,-25.75,-0.254
21699940.84,-25.75,-0.252
21699941,-25.75,-0.245
21699940.72,-25.75,-0.258
21699940.76,-25.75,-0.256
21699940.75,-25.75,-0.257
21699940.68,-25.75,-0.26
21699940.7,-25.75,-0.259
21699940.71,-25.75,-0.258
21699940.68,-25.75,-0.26
21699940.61,-26,-0.263
21699940.53,-26,-0.267
21699940.61,-26,-0.263
21699940.6,-26,-0.264
21699940.68,-26,-0.26
21699940.5,-26,-0.268
21699940.6,-26.25,-0.263
21699940.69,-26.25,-0.259
21699940.74,-26.5,-0.257
21699940.7,-26.5,-0.259
21699940.73,-26.5,-0.258
21699940.92,-26.75,-0.249
21699940.94,-26.5,-0.248
21699941.18,-27,-0.237
21699941.35,-27.25,-0.229
21699941.44,-27.25,-0.225
21699941.5,-27.25,-0.222
21699941.73,-27.25,-0.212
21699941.85,-27.5,-0.206
21699941.95,-27.5,-0.201
21699942.03,-27.75,-0.198
21699942.16,-27.75,-0.192
21699942.26,-28,-0.187
21699942.41,-28,-0.18
21699942.38,-28.25,-0.181
21699942.66,-28.25,-0.168
21699942.62,-28.25,-0.17
21699942.81,-28.5,-0.162
21699942.96,-28.5,-0.155
21699943.01,-28.75,-0.153
21699943.05,-28.75,-0.151
21699943.2,-28.75,-0.144
21699943.29,-29,-0.14
21699943.39,-29,-0.135
21699943.45,-29,-0.132
21699943.55,-29.25,-0.128
21699943.65,-29.25,-0.123
21699943.73,-29.25,-0.119
21699943.8,-29.25,-0.116
21699943.85,-29.5,-0.114
21699943.95,-29.5,-0.109
21699944.03,-29.5,-0.106
21699944.07,-29.5,-0.104
21699944.17,-29.5,-0.099
21699944.26,-29.75,-0.095
21699944.3,-29.75,-0.093
21699944.34,-29.75,-0.091
21699944.32,-29.75,-0.092
21699944.41,-29.75,-0.088
21699944.46,-30,-0.086
21699944.52,-30,-0.083
21699944.55,-30,-0.082
21699944.6,-30,-0.079
21699944.68,-30,-0.076
21699944.68,-30,-0.076
21699944.68,-30,-0.075
21699944.7,-30,-0.075
21699944.81,-30.25,-0.07
21699944.82,-30.25,-0.069
21699944.91,-30.25,-0.065
21699944.94,-30.25,-0.063
21699944.9,-30.25,-0.065
21699944.81,-30.25,-0.07
21699944.77,-30,-0.071
21699944.57,-30,-0.081
21699944.33,-29.75,-0.092
21699944.08,-29.5,-0.103
21699943.78,-29.25,-0.117
21699943.43,-29,-0.133
21699943.08,-28.75,-0.149
21699942.82,-28.5,-0.161
21699942.42,-28,-0.18
21699942.12,-27.75,-0.193
21699941.95,-27.25,-0.201
21699941.75,-27.25,-0.21
21699941.59,-26.5,-0.218
21699941.46,-26,-0.224
21699941.34,-25.5,-0.23
21699941.29,-25,-0.232
21699941.4,-24.25,-0.227
21699941.48,-23.75,-0.223
21699941.61,-23.25,-0.217
21699941.79,-22.75,-0.209
21699941.89,-22,-0.204
21699942.15,-21.25,-0.192
21699942.37,-20.5,-0.182
21699942.63,-19.75,-0.17
21699942.77,-19.5,-0.164
21699942.96,-18.5,-0.155
21699943.01,-17.75,-0.153
21699943.17,-17,-0.145
21699943.27,-16.25,-0.141
21699943.41,-15.5,-0.134
21699943.51,-14.75,-0.129
21699943.62,-14,-0.124
21699943.8,-13,-0.116
21699943.81,-12.5,-0.116
21699943.9,-11.5,-0.112
21699944,-10.75,-0.107
21699944.09,-9.75,-0.103
21699944.38,-9,-0.089
21699944.55,-8.25,-0.082
21699944.55,-7.25,-0.081
21699944.8,-6.5,-0.07
21699944.98,-5.5,-0.062
21699945.08,-5,-0.057
21699945.18,-4,-0.052
21699945.18,-4,-0.052
21699945.42,-2.25,-0.041
21699945.4,-1.5,-0.043
21699945.37,-0.5,-0.044
21699945.37,0.5,-0.044
21699945.36,1.25,-0.044
21699945.27,2,-0.048
21699945.23,2.75,-0.05
21699945.15,3.75,-0.054
21699945.05,4.75,-0.058
21699944.96,5.5,-0.063
21699944.85,6.25,-0.068
21699944.67,7,-0.076
21699944.5,8,-0.084
21699944.41,8.75,-0.088
21699944.4,9.5,-0.089
21699944.28,10,-0.094
21699944.28,10.75,-0.094
21699944.17,11.75,-0.099
21699944.24,12.25,-0.096
21699944.08,13,-0.103
21699943.99,13.5,-0.107
21699943.93,14.25,-0.11
21699943.93,15,-0.11
21699943.9,15.75,-0.111
21699943.86,16.25,-0.113
21699943.74,16.75,-0.119
21699943.74,17.25,-0.119
21699943.71,17.75,-0.12
21699943.56,18.25,-0.127
21699943.56,18.75,-0.127
21699943.59,19.5,-0.126
21699943.63,19.75,-0.124
21699943.56,20,-0.127
21699943.54,20.5,-0.128
21699943.47,21,-0.132
21699943.44,21.25,-0.133
21699943.33,21.75,-0.138
21699943.29,22.25,-0.14
21699943.29,22.5,-0.139
21699943.3,22.75,-0.139
21699943.27,23.25,-0.141
21699943.27,23.5,-0.141
21699943.17,23.75,-0.145
21699943.1,24,-0.149
21699943.08,24.25,-0.149
21699943.02,24.5,-0.152
21699943.06,24.5,-0.15
21699942.97,25,-0.154
21699943,25,-0.153
21699942.86,25.25,-0.159
21699942.79,25.5,-0.163
21699942.77,25.75,-0.163
